benchmark_id,rq,stage,model,graph,n_system,n_terms,alpha,selector_ancillas,n_ancilla,max_locality,gate_count,qasm_path,check_mode,check_epsilon,inferred_alpha,residual_norm,residual_threshold,residual_numerical_tolerance,residual_acceptance_threshold,runtime_sec,tracemalloc_peak_mb,process_maxrss_mb,status,success,error,bug_detection_result
maxcut_n3__select_cz_to_cx,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,89,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__select_cz_to_cx.qasm,paper,1e-08,2.75000000000,0.692218655243,3.53553390593e-9,0,3.53553390593e-9,0.033993042,0.091537,54.296875,FAIL,False,,success
maxcut_n3__normalization_full_selector,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,29,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__normalization_full_selector.qasm,paper,0.1,2.57142857143,0.327326835354,0.0353553390593,0,0.0353553390593,0.021000250,0.090695,54.500000,FAIL,False,,success
maxcut_n3__normalization_full_selector,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,29,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__normalization_full_selector.qasm,paper,0.001,2.57142857143,0.327326835354,0.000353553390593,0,0.000353553390593,0.012280583,0.069340,54.500000,FAIL,False,,success
maxcut_n3__normalization_full_selector,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,29,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__normalization_full_selector.qasm,paper,1e-05,2.57142857143,0.327326835354,0.00000353553390593,0,0.00000353553390593,0.011926584,0.068836,54.500000,FAIL,False,,success
maxcut_n3__normalization_full_selector,RQ1,block_encoding,maxcut,cycle,3,6,3,3,4,2,29,evaluation/bug_detection/generated/block_encoding/maxcut_n3/maxcut_n3__normalization_full_selector.qasm,paper,1e-08,2.57142857143,0.327326835354,3.53553390593e-9,0,3.53553390593e-9,0.012420917,0.069340,54.500000,FAIL,False,,success
heisenberg_n3__clean,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__clean.qasm,paper,0.1,6.00000000000,4.35541610617e-60,0.0353553390593,0,0.0353553390593,0.049258667,0.113720,54.609375,PASS,True,,success
heisenberg_n3__clean,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__clean.qasm,paper,0.001,6.00000000000,4.35541610617e-60,0.000353553390593,0,0.000353553390593,0.041914250,0.100253,54.640625,PASS,True,,success
heisenberg_n3__clean,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__clean.qasm,paper,1e-05,6.00000000000,4.35541610617e-60,0.00000353553390593,0,0.00000353553390593,0.042143500,0.100253,54.640625,PASS,True,,success
heisenberg_n3__clean,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__clean.qasm,paper,1e-08,6.00000000000,4.35541610617e-60,3.53553390593e-9,0,3.53553390593e-9,0.042346208,0.100253,54.640625,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-07.qasm,paper,0.1,6.00000000000,2.44948978608e-7,0.0353553390593,0,0.0353553390593,0.047517917,0.101965,54.781250,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-07.qasm,paper,0.001,6.00000000000,2.44948978608e-7,0.000353553390593,0,0.000353553390593,0.041921375,0.100253,54.828125,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-07.qasm,paper,1e-05,6.00000000000,2.44948978608e-7,0.00000353553390593,0,0.00000353553390593,0.041675375,0.100253,54.828125,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-07,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-07.qasm,paper,1e-08,6.00000000000,2.44948978608e-7,3.53553390593e-9,0,3.53553390593e-9,0.042199750,0.100253,54.843750,FAIL,False,,success
heisenberg_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-05.qasm,paper,0.1,5.99999999940,0.0000244949407275,0.0353553390593,0,0.0353553390593,0.047210000,0.100253,54.875000,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-05.qasm,paper,0.001,5.99999999940,0.0000244949407275,0.000353553390593,0,0.000353553390593,0.041801834,0.100253,54.890625,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-05.qasm,paper,1e-05,5.99999999940,0.0000244949407275,0.00000353553390593,0,0.00000353553390593,0.042067000,0.100253,54.890625,FAIL,False,,success
heisenberg_n3__prepare_angle_delta_1e-05,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-05.qasm,paper,1e-08,5.99999999940,0.0000244949407275,3.53553390593e-9,0,3.53553390593e-9,0.041778167,0.100253,54.890625,FAIL,False,,success
heisenberg_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-03.qasm,paper,0.1,5.99999399789,0.00244992112181,0.0353553390593,0,0.0353553390593,0.050415667,0.100392,55.000000,PASS,True,,success
heisenberg_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-03.qasm,paper,0.001,5.99999399789,0.00244992112181,0.000353553390593,0,0.000353553390593,0.045456167,0.100253,55.062500,FAIL,False,,success
heisenberg_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-03.qasm,paper,1e-05,5.99999399789,0.00244992112181,0.00000353553390593,0,0.00000353553390593,0.045574958,0.100253,55.093750,FAIL,False,,success
heisenberg_n3__prepare_angle_delta_1e-03,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__prepare_angle_delta_1e-03.qasm,paper,1e-08,5.99999399789,0.00244992112181,3.53553390593e-9,0,3.53553390593e-9,0.045330167,0.100253,55.140625,FAIL,False,,success
heisenberg_n3__select_cz_to_cx,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__select_cz_to_cx.qasm,paper,0.1,5.00000000000,1.35400640077,0.0353553390593,0,0.0353553390593,0.124681458,0.495680,55.687500,FAIL,False,,success
heisenberg_n3__select_cz_to_cx,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__select_cz_to_cx.qasm,paper,0.001,5.00000000000,1.35400640077,0.000353553390593,0,0.000353553390593,0.057657833,0.100189,55.687500,FAIL,False,,success
heisenberg_n3__select_cz_to_cx,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__select_cz_to_cx.qasm,paper,1e-05,5.00000000000,1.35400640077,0.00000353553390593,0,0.00000353553390593,0.057484875,0.100253,55.718750,FAIL,False,,success
heisenberg_n3__select_cz_to_cx,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,120,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__select_cz_to_cx.qasm,paper,1e-08,5.00000000000,1.35400640077,3.53553390593e-9,0,3.53553390593e-9,0.057305916,0.100253,55.718750,FAIL,False,,success
heisenberg_n3__normalization_full_selector,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,60,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__normalization_full_selector.qasm,paper,0.1,4.80000000000,1.54919333848,0.0353553390593,0,0.0353553390593,0.031885292,0.098993,55.953125,FAIL,False,,success
heisenberg_n3__normalization_full_selector,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,60,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__normalization_full_selector.qasm,paper,0.001,4.80000000000,1.54919333848,0.000353553390593,0,0.000353553390593,0.021393375,0.075607,55.953125,FAIL,False,,success
heisenberg_n3__normalization_full_selector,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,60,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__normalization_full_selector.qasm,paper,1e-05,4.80000000000,1.54919333848,0.00000353553390593,0,0.00000353553390593,0.021385125,0.076111,55.953125,FAIL,False,,success
heisenberg_n3__normalization_full_selector,RQ1,block_encoding,heisenberg,,3,6,6,3,4,2,60,evaluation/bug_detection/generated/block_encoding/heisenberg_n3/heisenberg_n3__normalization_full_selector.qasm,paper,1e-08,4.80000000000,1.54919333848,3.53553390593e-9,0,3.53553390593e-9,0.021412000,0.076047,55.953125,FAIL,False,,success
